,Unnamed: 0,TARGET,성별,차량 소유 여부,부동산 소유 여부,연간 수입,수입 유형,최종 학력,결혼 여부,주거 형태,거주지 인구 비율,업무용 휴대전화 소유 여부,직업,가족 구성원 수,나이,근속연수,가입연수,자녀수_구간,산업군_상위
70,33705,1,여성,0,0,42480000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.020246,1,회계사,3.0,26,7,9.0,1,사업
71,22170,0,여성,0,1,26550000.0,연금수령자,고등학교 졸업,사별,주택 / 아파트,0.0145199999999999,0,Unknown,1.0,58,1000,32.0,0,기타
72,22710,0,남성,0,1,63720000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.0145199999999999,1,핵심 노동자,3.0,33,13,10.0,1,경찰
73,43621,0,여성,0,1,31860000.0,연금수령자,고등학교 졸업,미혼,주택 / 아파트,0.028663,0,Unknown,1.0,55,1000,22.0,0,기타
74,45435,0,남성,0,0,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.018029,1,단순 노동자,2.0,26,0,12.0,0,운송
75,58494,0,여성,0,1,18054000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.0105,1,단순 노동자,2.0,53,10,11.0,0,산업
76,39312,0,남성,1,0,14868000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.026392,1,단순 노동자,3.0,30,0,13.0,1,사업
77,16573,0,남성,0,1,63720000.0,기타,대학교 졸업 이상,사실혼,주택 / 아파트,0.011703,1,회계사,2.0,45,1,8.0,0,은행
78,33992,0,남성,1,1,31860000.0,근로자,대학교 졸업 이상,미혼,주택 / 아파트,0.010032,1,운전자,1.0,31,2,5.0,0,운송
79,53594,0,남성,0,1,58410000.0,근로자,대학교 중퇴,미혼,주택 / 아파트,0.002506,1,단순 노동자,1.0,47,17,10.0,0,사업
80,54209,1,남성,0,1,30798000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.028663,1,영업직,2.0,57,3,4.0,0,자영업
81,17294,0,여성,0,1,48852000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.04622,1,영업직,4.0,29,7,12.0,2,자영업
82,6987,0,여성,0,0,40356000.0,연금수령자,대학교 졸업 이상,기혼,주택 / 아파트,0.006305,0,Unknown,2.0,58,1000,27.0,0,기타
83,3803,0,남성,0,1,82836000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.04622,1,관리직,2.0,51,3,8.0,0,기타
84,20199,0,여성,0,1,63720000.0,근로자,고등학교 졸업,별거,주택 / 아파트,0.009549,1,부동산중개업자,1.0,38,9,21.0,0,사업
85,32610,0,여성,1,0,23364000.0,연금수령자,고등학교 졸업,미혼,주택 / 아파트,0.018634,0,Unknown,1.0,60,1000,7.0,0,기타
86,35799,0,남성,0,0,63720000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.028663,1,기술직,2.0,58,25,11.0,0,사업
87,23414,0,남성,1,0,29736000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.028663,1,단순 노동자,2.0,31,1,13.0,0,자영업
88,59119,0,남성,0,1,58410000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.04622,1,단순 노동자,2.0,31,1,15.0,0,주택
89,49282,0,여성,0,1,56286000.0,공무원,대학교 졸업 이상,별거,주택 / 아파트,0.006852,1,핵심 노동자,3.0,37,3,8.0,2,군대
90,46365,0,여성,0,1,30798000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.0084739999999999,1,핵심 노동자,3.0,41,9,0.0,1,학교
91,476,0,남성,1,1,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.009175,1,단순 노동자,2.0,46,3,4.0,0,사업
92,31674,0,여성,0,1,79650000.0,기타,고등학교 졸업,사실혼,주택 / 아파트,0.0072739999999999,1,관리직,4.0,34,3,2.0,2,사업
93,49233,0,여성,0,1,37170000.0,근로자,대학교 졸업 이상,별거,주택 / 아파트,0.018801,1,Unknown,1.0,47,5,29.0,0,사업
94,7563,0,남성,1,1,47790000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.035792,1,단순 노동자,2.0,34,0,18.0,0,사업
95,33215,0,여성,0,1,21240000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.006852,1,Unknown,4.0,34,1,1.0,2,산업
96,3955,0,여성,1,0,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.020246,1,운전자,2.0,37,6,5.0,0,건설
97,9263,0,남성,0,1,21240000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.010276,0,Unknown,2.0,67,1000,27.0,0,기타
98,26239,0,여성,0,1,37170000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.016612,1,단순 노동자,2.0,43,8,23.0,0,사업
99,33019,1,여성,0,1,23364000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.018209,1,조리사,4.0,31,7,13.0,2,의학
100,56414,1,여성,0,1,31860000.0,연금수령자,대학교 중퇴,사별,주택 / 아파트,0.072508,0,Unknown,1.0,57,1000,29.0,0,기타
101,26164,0,여성,0,0,40356000.0,연금수령자,고등학교 졸업,사별,주택 / 아파트,0.019101,0,Unknown,1.0,65,1000,35.0,0,기타
102,32560,0,남성,1,0,47790000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.072508,1,Unknown,3.0,34,1,23.0,1,사업
103,40766,0,남성,1,1,26550000.0,연금수령자,대학교 졸업 이상,기혼,주택 / 아파트,0.009175,0,Unknown,2.0,64,1000,24.0,0,기타
104,51394,0,남성,1,1,53100000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.025164,1,단순 노동자,2.0,31,0,6.0,0,사업
105,56754,0,여성,0,1,53100000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.030755,1,의료 업계 종사자,3.0,27,3,13.0,1,의학
106,54249,0,여성,1,1,47790000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.015221,1,기술직,2.0,53,4,23.0,0,사업
107,58165,0,여성,0,0,26550000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.031329,1,의료 업계 종사자,2.0,53,9,2.0,0,호텔
108,37951,0,여성,0,0,50976000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.04622,1,단순 노동자,2.0,45,0,6.0,0,사업
109,50470,1,남성,0,1,37170000.0,근로자,저학력자,기혼,주택 / 아파트,0.01885,1,단순 노동자,2.0,27,2,6.0,0,건설
110,6293,0,남성,0,1,31860000.0,연금수령자,저학력자,별거,공공분양,0.018029,0,Unknown,2.0,47,1000,14.0,1,기타
111,50052,0,여성,0,1,37170000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.019101,1,조리사,4.0,42,5,4.0,2,학교
112,25959,0,여성,1,1,69030000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.028663,1,회계사,4.0,40,14,0.0,2,자영업
113,26610,0,여성,1,1,53100000.0,근로자,대학교 졸업 이상,사실혼,주택 / 아파트,0.022625,1,기술직,3.0,41,3,7.0,1,의학
114,52059,0,여성,1,1,58410000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.014464,0,Unknown,2.0,60,1000,23.0,0,기타
115,41711,1,남성,0,1,26550000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.035792,0,Unknown,2.0,60,1000,2.0,0,기타
116,15697,0,여성,0,1,18054000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.026392,1,단순 노동자,2.0,51,2,25.0,0,기타
117,4644,0,여성,0,0,69030000.0,연금수령자,대학교 졸업 이상,기혼,주택 / 아파트,0.020246,0,Unknown,2.0,51,1000,14.0,0,기타
118,9069,0,여성,1,1,42480000.0,근로자,고등학교 졸업,사실혼,주택 / 아파트,0.0105,1,운전자,2.0,39,2,7.0,0,운송
119,37995,0,여성,0,1,42480000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.04622,1,가정부,2.0,55,2,12.0,0,자영업
120,27941,0,여성,0,0,31860000.0,기타,고등학교 졸업,사실혼,아파트 임대,0.010276,1,핵심 노동자,3.0,31,1,4.0,1,자영업
121,33929,0,남성,1,1,31860000.0,공무원,고등학교 졸업,기혼,주택 / 아파트,0.009334,1,단순 노동자,2.0,41,1,1.0,0,사업
122,5086,0,여성,0,1,28674000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.072508,0,Unknown,2.0,64,1000,2.0,0,기타
123,53487,0,여성,0,0,37170000.0,공무원,고등학교 졸업,기혼,주택 / 아파트,0.030755,1,핵심 노동자,2.0,55,20,0.0,0,정부
124,16655,0,여성,1,0,47790000.0,기타,고등학교 졸업,미혼,주택 / 아파트,0.010006,1,회계사,1.0,51,7,28.0,0,사업
125,15798,0,여성,0,1,42480000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.02461,1,핵심 노동자,2.0,39,15,19.0,0,유치원
126,52486,0,남성,1,0,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.01885,1,운전자,2.0,57,2,14.0,0,운송
127,15578,0,여성,0,1,26550000.0,근로자,고등학교 졸업,별거,주택 / 아파트,0.020246,1,단순 노동자,1.0,53,11,8.0,0,정부
128,56896,0,여성,0,0,53100000.0,공무원,대학교 졸업 이상,기혼,주택 / 아파트,0.00496,1,핵심 노동자,2.0,43,14,8.0,0,법률
129,5102,0,여성,0,1,26550000.0,공무원,대학교 졸업 이상,기혼,주택 / 아파트,0.007305,1,의료 업계 종사자,3.0,29,6,1.0,1,의학
130,7602,0,여성,1,1,47790000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.028663,1,Unknown,2.0,54,8,14.0,0,사업
131,34000,1,남성,0,1,53100000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.00733,1,부동산중개업자,2.0,36,1,2.0,0,사업
132,27137,1,남성,1,1,26550000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.00823,1,운전자,2.0,56,2,23.0,0,자영업
133,4580,0,여성,1,1,33984000.0,공무원,대학교 졸업 이상,기혼,주택 / 아파트,0.035792,1,핵심 노동자,3.0,36,11,3.0,1,경찰
134,1736,0,여성,0,0,15930000.0,공무원,고등학교 졸업,기혼,공공분양,0.010556,1,핵심 노동자,2.0,45,5,16.0,0,유치원
135,58386,0,남성,1,1,84960000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.04622,1,단순 노동자,4.0,39,8,16.0,2,사업
136,46789,0,여성,0,1,26550000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.009175,1,조리사,2.0,49,2,0.0,0,건설
137,58630,0,여성,0,1,58410000.0,연금수령자,고등학교 졸업,사별,주택 / 아파트,0.011703,0,Unknown,1.0,56,1000,36.0,0,기타
138,39276,0,여성,1,1,106200000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.010147,1,관리직,2.0,52,7,5.0,0,사업
139,4863,0,여성,0,1,26550000.0,근로자,대학교 졸업 이상,사실혼,주택 / 아파트,0.026392,1,핵심 노동자,2.0,22,1,8.0,0,은행
140,58480,1,여성,0,0,31860000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.01885,1,회계사,4.0,45,12,6.0,2,자영업
141,55386,0,여성,0,1,63720000.0,근로자,고등학교 졸업,기혼,공공분양,0.022625,1,Unknown,2.0,57,8,7.0,0,사업
142,32512,0,여성,1,1,63720000.0,근로자,고등학교 졸업,별거,주택 / 아파트,0.026392,1,관리직,2.0,49,12,8.0,1,무역
143,53323,0,여성,0,1,53100000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.020246,0,Unknown,2.0,56,1000,29.0,0,기타
144,45290,0,남성,1,0,42480000.0,근로자,고등학교 졸업,기혼,공공분양,0.022625,1,Unknown,3.0,45,1,13.0,1,사업
145,3780,0,여성,0,0,82836000.0,근로자,대학교 졸업 이상,사실혼,주택 / 아파트,0.01885,1,관리직,2.0,51,3,20.0,0,정부
146,40235,0,여성,0,1,74340000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.018801,1,회계사,4.0,39,4,13.0,2,건설
147,39936,0,여성,0,1,23364000.0,공무원,대학교 졸업 이상,기혼,주택 / 아파트,0.01885,1,핵심 노동자,4.0,32,4,2.0,2,정부
148,12403,0,여성,0,0,29736000.0,공무원,고등학교 졸업,기혼,주택 / 아파트,0.016612,1,단순 노동자,2.0,57,9,36.0,0,주택
149,19959,0,여성,1,1,53100000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.006629,1,단순 노동자,3.0,43,4,5.0,1,대학교
150,17190,0,여성,0,1,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.020713,1,Unknown,2.0,40,14,10.0,0,사업
151,52445,0,남성,0,1,90270000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.04622,1,운전자,2.0,40,0,22.0,0,사업
152,37395,0,여성,1,1,84960000.0,연금수령자,대학교 졸업 이상,미혼,주택 / 아파트,0.032561,0,Unknown,1.0,64,1000,2.0,0,기타
153,20066,0,여성,0,1,14868000.0,연금수령자,대학교 졸업 이상,기혼,주택 / 아파트,0.006852,0,Unknown,2.0,66,1000,11.0,0,기타
154,28733,0,여성,1,1,47790000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.0031219999999999,1,단순 노동자,4.0,29,6,12.0,2,자영업
155,41407,0,여성,1,1,26550000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.022625,1,Unknown,2.0,42,19,25.0,0,대학교
156,51283,0,여성,0,1,79650000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.018209,1,핵심 노동자,2.0,26,2,9.0,0,사업
157,50182,0,여성,0,1,15930000.0,연금수령자,고등학교 졸업,미혼,주택 / 아파트,0.018029,0,Unknown,1.0,55,1000,2.0,0,기타
158,6945,1,여성,0,1,30798000.0,기타,고등학교 졸업,사실혼,주택 / 아파트,0.00963,1,영업직,2.0,40,4,21.0,0,사업
159,25612,0,여성,1,1,37170000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.026392,1,Unknown,1.0,22,1,9.0,0,사업
160,1422,0,남성,0,1,53100000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.00823,1,운전자,2.0,40,7,0.0,0,사업
161,4894,0,여성,1,1,53100000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.00963,1,핵심 노동자,2.0,54,10,21.0,0,법률
162,15249,0,남성,0,0,37170000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.016612,1,단순 노동자,2.0,39,7,0.0,0,자영업
163,52633,0,남성,0,1,40356000.0,근로자,고등학교 졸업,사실혼,주택 / 아파트,0.003813,1,저임금 노동자,2.0,36,0,7.0,0,자영업
164,28815,0,남성,1,0,50976000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.031329,1,기술직,2.0,27,6,2.0,0,운송
165,53637,0,여성,0,1,37170000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.015221,0,Unknown,2.0,52,1000,12.0,0,기타
166,10583,0,남성,1,1,28674000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.009549,0,Unknown,2.0,58,1000,12.0,0,기타
167,212,0,여성,0,0,26550000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.020246,1,영업직,1.0,44,13,19.0,0,자영업
168,31680,0,남성,1,1,37170000.0,근로자,대학교 중퇴,기혼,주택 / 아파트,0.018634,1,운전자,3.0,52,2,16.0,1,사업
169,37624,0,여성,0,1,21240000.0,기타,대학교 졸업 이상,기혼,아파트 임대,0.020713,1,회계사,2.0,24,0,0.0,0,사업
170,273,0,여성,0,1,26550000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.018029,1,영업직,3.0,34,0,25.0,1,사업
171,13904,1,남성,0,0,26550000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.020246,1,운전자,1.0,24,3,2.0,0,사업
172,17437,0,여성,0,1,58410000.0,기타,고등학교 졸업,미혼,주택 / 아파트,0.025164,1,Unknown,1.0,36,4,19.0,0,사업
173,11968,0,여성,0,1,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.020713,1,단순 노동자,2.0,48,13,11.0,0,사업
174,19306,0,여성,0,1,53100000.0,기타,대학교 졸업 이상,사실혼,주택 / 아파트,0.072508,1,핵심 노동자,2.0,63,6,47.0,0,기타
175,39297,0,남성,0,0,44604000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.031329,1,Unknown,3.0,24,3,9.0,1,산업
176,41483,0,남성,1,1,53100000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.030755,1,관리직,3.0,48,6,6.0,1,사업
177,52152,0,남성,1,0,37170000.0,근로자,고등학교 졸업,기혼,공공분양,0.018029,1,단순 노동자,2.0,44,4,28.0,0,사업
178,42380,1,남성,0,1,30798000.0,기타,고등학교 졸업,기혼,공공분양,0.010032,1,보안 업계 종사자,2.0,35,2,4.0,0,보안
